oIWsFt7fIyXXmT2maP7WNj2W3lb8	81	0.0082	9878
oIWsFtxZIu_Ak9fWfwOFJIMfXqbs	56	0.0009	62222
oIWsFt5sk7EXvpcBWyY8dggPtsfE	340	0.0549	6193
oIWsFt7KwrVuIw-k1HZ-v_p9WaU4	3011	0.0296	101722
oIWsFty-bZiOdyTog8ejhShQ4Rc4	1160	0.0093	124731
oIWsFtzFrB4N_FWzv16vSEzGHCxY	173	0.0102	16960
oIWsFt9p89LFBOnYzMn0_E5VN_KY	2959	0.0728	40645
oIWsFt9wlFCH1FK75z9PuLDfIDIo	119	0.0031	38387
oIWsFt_1ym1xtG1rv1dUjPtIgO5o	949	0.0142	66830
oIWsFt4Ww10pIlc6XAHooyQwGzYY	678	0.0282	24042
oIWsFt_ldh9SQ4Eq31SMH3gMzh6E	3198	0.007	456857
oIWsFt6zN8byHicP8Z70QSr0tgy8	1155	0.0132	87500
oIWsFtwYrpdVx_9iLIxplJSyd5dQ	996	0.0376	26489
oIWsFt8xfXXaMFtV3aOmDJAPrzMU	143	0.006	23833
